time,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-01 00:00:00,2013.0,3.0,1.0,2.5,4.166666666666667,4.166666666666667,3.8,2.3333333333333335,160.0,89.0
2013-03-01 06:00:00,2013.0,3.0,1.0,8.5,9.166666666666666,18.0,23.0,17.8,466.6666666666667,71.66666666666667
2013-03-01 12:00:00,2013.0,3.0,1.0,14.5,3.1666666666666665,6.166666666666667,9.0,5.5,283.3333333333333,85.83333333333333
2013-03-01 18:00:00,2013.0,3.0,1.0,20.5,13.666666666666666,21.166666666666668,26.0,19.666666666666668,416.6666666666667,68.16666666666667
2013-03-02 00:00:00,2013.0,3.0,2.0,2.5,11.833333333333334,16.333333333333332,38.0448,21.747283333333332,400.0,61.186733333333336
2013-03-02 06:00:00,2013.0,3.0,2.0,8.5,18.833333333333332,25.666666666666668,47.166666666666664,35.5,566.6666666666666,38.666666666666664
2013-03-02 12:00:00,2013.0,3.0,2.0,14.5,31.0,43.0,39.166666666666664,52.333333333333336,616.6666666666666,37.666666666666664
2013-03-02 18:00:00,2013.0,3.0,2.0,20.5,69.16666666666667,80.5,35.666666666666664,89.83333333333333,1416.5,2.5
2013-03-03 00:00:00,2013.0,3.0,3.0,2.5,47.333333333333336,54.5,17.833333333333332,51.333333333333336,1066.6666666666667,4.333333333333333
2013-03-03 06:00:00,2013.0,3.0,3.0,8.5,66.16666666666667,77.66666666666667,56.666666666666664,53.166666666666664,1200.0,12.166666666666666
2013-03-03 12:00:00,2013.0,3.0,3.0,14.5,95.83333333333333,133.33333333333334,60.666666666666664,52.666666666666664,900.0,56.0
2013-03-03 18:00:00,2013.0,3.0,3.0,20.5,21.166666666666668,57.5,18.0,32.4,616.6666666666666,38.833333333333336
2013-03-04 00:00:00,2013.0,3.0,4.0,2.5,17.0,34.833333333333336,19.5,16.833333333333332,266.6666666666667,62.0
2013-03-04 06:00:00,2013.0,3.0,4.0,8.5,21.5,50.666666666666664,43.333333333333336,46.5,883.1666666666666,37.666666666666664
2013-03-04 12:00:00,2013.0,3.0,4.0,14.5,17.5,24.666666666666668,16.5,17.5,150.0,84.83333333333333
2013-03-04 18:00:00,2013.0,3.0,4.0,20.5,27.0,73.33333333333333,23.5,59.666666666666664,800.0,39.166666666666664
2013-03-05 00:00:00,2013.0,3.0,5.0,2.5,,55.5,14.4,30.6,700.0,91.0
2013-03-05 06:00:00,2013.0,3.0,5.0,8.5,,77.83333333333333,45.5,47.333333333333336,1200.0,91.0
2013-03-05 12:00:00,2013.0,3.0,5.0,14.5,3.0,142.16666666666666,85.16666666666667,79.33333333333333,1300.0,81.83333333333333
2013-03-05 18:00:00,2013.0,3.0,5.0,20.5,123.33333333333333,209.83333333333334,56.666666666666664,110.33333333333333,2066.1666666666665,88.0
2013-03-06 00:00:00,2013.0,3.0,6.0,2.5,145.83333333333334,139.16666666666666,28.0,57.833333333333336,1616.6666666666667,88.0
2013-03-06 06:00:00,2013.0,3.0,6.0,8.5,150.16666666666666,161.66666666666666,61.5,85.33333333333333,1916.5,88.0
2013-03-06 12:00:00,2013.0,3.0,6.0,14.5,150.83333333333334,164.83333333333334,109.16666666666667,75.5,1499.5,80.5
2013-03-06 18:00:00,2013.0,3.0,6.0,20.5,223.66666666666666,315.8333333333333,64.5,127.66666666666667,3349.8333333333335,65.0
2013-03-07 00:00:00,2013.0,3.0,7.0,2.5,192.5,212.33333333333334,32.5,101.33333333333333,2732.8333333333335,65.0
2013-03-07 06:00:00,2013.0,3.0,7.0,8.5,134.5,151.5,70.0,86.5,1866.1666666666667,65.0
2013-03-07 12:00:00,2013.0,3.0,7.0,14.5,177.0,271.1666666666667,97.83333333333333,125.5,1966.6666666666667,67.0
2013-03-07 18:00:00,2013.0,3.0,7.0,20.5,321.6666666666667,377.5,55.666666666666664,173.33333333333334,3299.8333333333335,57.333333333333336
2013-03-08 00:00:00,2013.0,3.0,8.0,2.5,199.0,215.83333333333334,31.833333333333332,89.5,2299.6666666666665,68.0
2013-03-08 06:00:00,2013.0,3.0,8.0,8.5,193.33333333333334,206.83333333333334,70.39773333333333,88.07518333333333,2099.6,68.0
2013-03-08 12:00:00,2013.0,3.0,8.0,14.5,279.0,371.3333333333333,94.0,105.5,3532.8333333333335,100.16666666666667
2013-03-08 18:00:00,2013.0,3.0,8.0,20.5,108.16666666666667,135.0,38.0,72.16666666666667,1249.5,107.0
2013-03-09 00:00:00,2013.0,3.0,9.0,2.5,75.33333333333333,82.16666666666667,24.6,37.2,1120.0,107.0
2013-03-09 06:00:00,2013.0,3.0,9.0,8.5,105.16666666666667,196.66666666666666,62.5,70.16666666666667,1650.0,107.0
2013-03-09 12:00:00,2013.0,3.0,9.0,14.5,16.666666666666668,240.5,7.166666666666667,8.333333333333334,183.33333333333334,101.0
2013-03-09 18:00:00,2013.0,3.0,9.0,20.5,11.333333333333334,51.666666666666664,23.166666666666668,18.666666666666668,316.6666666666667,95.0
2013-03-10 00:00:00,2013.0,3.0,10.0,2.5,19.166666666666668,33.833333333333336,21.833333333333332,25.166666666666668,550.0,95.0
2013-03-10 06:00:00,2013.0,3.0,10.0,8.5,45.0,69.66666666666667,48.5,54.666666666666664,933.3333333333334,95.0
2013-03-10 12:00:00,2013.0,3.0,10.0,14.5,36.166666666666664,54.5,25.833333333333332,37.333333333333336,566.6666666666666,92.33333333333333
2013-03-10 18:00:00,2013.0,3.0,10.0,20.5,74.16666666666667,117.66666666666667,32.833333333333336,69.16666666666667,1000.0,79.83333333333333
2013-03-11 00:00:00,2013.0,3.0,11.0,2.5,74.66666666666667,82.0,16.166666666666668,38.666666666666664,900.0,79.0
2013-03-11 06:00:00,2013.0,3.0,11.0,8.5,96.0,113.66666666666667,45.166666666666664,52.0,1083.1666666666667,79.0
2013-03-11 12:00:00,2013.0,3.0,11.0,14.5,133.0,150.0,145.66666666666666,84.16666666666667,1266.6666666666667,77.33333333333333
2013-03-11 18:00:00,2013.0,3.0,11.0,20.5,174.5,221.83333333333334,85.0,114.66666666666667,1932.8333333333333,48.5
2013-03-12 00:00:00,2013.0,3.0,12.0,2.5,145.83333333333334,166.66666666666666,48.666666666666664,92.83333333333333,1599.6666666666667,47.0
2013-03-12 06:00:00,2013.0,3.0,12.0,8.5,99.33333333333333,98.0,20.833333333333332,98.16666666666667,1283.1666666666667,47.0
2013-03-12 12:00:00,2013.0,3.0,12.0,14.5,111.66666666666667,81.0,22.5,78.16666666666667,1116.6666666666667,41.5
2013-03-12 18:00:00,2013.0,3.0,12.0,20.5,69.33333333333333,73.0,27.333333333333332,57.833333333333336,833.1666666666666,32.0
2013-03-13 00:00:00,2013.0,3.0,13.0,2.5,4.666666666666667,7.666666666666667,17.666666666666668,14.166666666666666,240.0,82.0
2013-03-13 06:00:00,2013.0,3.0,13.0,8.5,8.166666666666666,12.833333333333334,19.5,23.666666666666668,350.0,82.0
2013-03-13 12:00:00,2013.0,3.0,13.0,14.5,3.0,7.0,12.333333333333334,8.833333333333334,160.0,87.83333333333333
2013-03-13 18:00:00,2013.0,3.0,13.0,20.5,26.5,38.333333333333336,10.833333333333334,30.333333333333332,500.0,90.0
2013-03-14 00:00:00,2013.0,3.0,14.0,2.5,63.333333333333336,81.66666666666667,15.5,69.83333333333333,1283.1666666666667,90.0
2013-03-14 06:00:00,2013.0,3.0,14.0,8.5,68.66666666666667,78.83333333333333,27.833333333333332,54.666666666666664,1349.5,90.0
2013-03-14 12:00:00,2013.0,3.0,14.0,14.5,133.0,143.0,58.166666666666664,77.66666666666667,1349.6666666666667,89.16666666666667
2013-03-14 18:00:00,2013.0,3.0,14.0,20.5,167.0,179.66666666666666,28.333333333333332,110.66666666666667,1900.0,47.833333333333336
2013-03-15 00:00:00,2013.0,3.0,15.0,2.5,158.5,129.5,11.166666666666666,69.66666666666667,1559.8,43.0
2013-03-15 06:00:00,2013.0,3.0,15.0,8.5,144.66666666666666,149.5,37.333333333333336,68.83333333333333,1766.5,32.333333333333336
2013-03-15 12:00:00,2013.0,3.0,15.0,14.5,259.5,277.5,111.16666666666667,112.16666666666667,1883.1666666666667,48.166666666666664
2013-03-15 18:00:00,2013.0,3.0,15.0,20.5,320.6666666666667,339.3333333333333,38.666666666666664,157.5,2799.5,58.0
2013-03-16 00:00:00,2013.0,3.0,16.0,2.5,288.1666666666667,263.5,23.166666666666668,101.16666666666667,2299.6666666666665,58.0
2013-03-16 06:00:00,2013.0,3.0,16.0,8.5,265.3333333333333,238.0,52.833333333333336,75.33333333333333,1949.8333333333333,58.0
2013-03-16 12:00:00,2013.0,3.0,16.0,14.5,175.16666666666666,175.5,71.5,69.16666666666667,1499.6666666666667,92.83333333333333
2013-03-16 18:00:00,2013.0,3.0,16.0,20.5,215.33333333333334,218.66666666666666,46.0,86.66666666666667,2480.0,102.0
2013-03-17 00:00:00,2013.0,3.0,17.0,2.5,202.5,175.0,30.333333333333332,75.5,1879.6,102.0
2013-03-17 06:00:00,2013.0,3.0,17.0,8.5,199.83333333333334,220.16666666666666,62.833333333333336,88.33333333333333,2249.3333333333335,102.0
2013-03-17 12:00:00,2013.0,3.0,17.0,14.5,316.5,343.1666666666667,128.66666666666666,114.66666666666667,2616.6666666666665,102.5
2013-03-17 18:00:00,2013.0,3.0,17.0,20.5,402.3333333333333,405.3333333333333,41.5,143.66666666666666,3233.1666666666665,92.16666666666667
2013-03-18 00:00:00,2013.0,3.0,18.0,2.5,336.0,315.1666666666667,19.166666666666668,77.66666666666667,2399.6666666666665,103.0
2013-03-18 06:00:00,2013.0,3.0,18.0,8.5,6.666666666666667,6.0,5.833333333333333,8.333333333333334,166.66666666666666,103.0
2013-03-18 12:00:00,2013.0,3.0,18.0,14.5,3.1666666666666665,6.833333333333333,3.0,7.0,116.66666666666667,97.16666666666667
